score=100,认假率=0.000000,拒真率=0.205662,识别率=0.897169
score=101,认假率=0.000000,拒真率=0.207338,识别率=0.896331
score=102,认假率=0.000000,拒真率=0.257606,识别率=0.871197
score=103,认假率=0.000000,拒真率=0.313961,识别率=0.843020
score=104,认假率=0.000000,拒真率=0.372784,识别率=0.813608
score=105,认假率=0.000000,拒真率=0.423582,识别率=0.788209
score=106,认假率=0.000000,拒真率=0.480113,识别率=0.759944
score=107,认假率=0.000000,拒真率=0.516624,识别率=0.741688
score=108,认假率=0.000000,拒真率=0.572625,识别率=0.713687
score=109,认假率=0.000000,拒真率=0.623600,识别率=0.688200
score=110,认假率=0.000000,拒真率=0.669900,识别率=0.665050
score=111,认假率=0.000000,拒真率=0.711174,识别率=0.644413
score=112,认假率=0.000000,拒真率=0.753947,识别率=0.623027
score=113,认假率=0.000000,拒真率=0.790634,识别率=0.604683
score=114,认假率=0.000000,拒真率=0.823529,识别率=0.588235
score=115,认假率=0.000000,拒真率=0.852192,识别率=0.573904
score=116,认假率=0.000000,拒真率=0.879178,识别率=0.560411
score=117,认假率=0.000000,拒真率=0.894964,识别率=0.552518
score=118,认假率=0.000000,拒真率=0.921333,识别率=0.539333
score=119,认假率=0.000000,拒真率=0.932269,识别率=0.533865
score=120,认假率=0.000000,拒真率=0.941529,识别率=0.529235
score=121,认假率=0.000000,拒真率=0.952730,识别率=0.523635
score=122,认假率=0.000000,拒真率=0.960931,识别率=0.519534
score=123,认假率=0.000000,拒真率=0.963665,识别率=0.518167
score=124,认假率=0.000000,拒真率=0.965605,识别率=0.517197
score=125,认假率=0.000000,拒真率=0.971514,识别率=0.514243
score=126,认假率=0.000000,拒真率=0.972837,识别率=0.513581
score=127,认假率=0.000000,拒真率=0.977864,识别率=0.511068
score=128,认假率=0.000000,拒真率=0.978658,识别率=0.510671
score=129,认假率=0.000000,拒真率=0.979363,识别率=0.510318
score=130,认假率=0.000000,拒真率=0.979892,识别率=0.510054
score=131,认假率=0.000000,拒真率=0.980157,识别率=0.509922
score=132,认假率=0.000000,拒真率=0.980510,识别率=0.509745
score=133,认假率=0.000000,拒真率=0.980686,识别率=0.509657
score=134,认假率=0.000000,拒真率=0.980951,识别率=0.509525
