score=0,认假率=1.000000,拒真率=0.000000,识别率=0.500000
score=1,认假率=0.986319,拒真率=0.023723,识别率=0.494979
score=2,认假率=0.978128,拒真率=0.024164,识别率=0.498854
score=3,认假率=0.927937,拒真率=0.024694,识别率=0.523685
score=4,认假率=0.784942,拒真率=0.025840,识别率=0.594609
score=5,认假率=0.608836,拒真率=0.027868,识别率=0.681648
score=6,认假率=0.436389,拒真率=0.032013,识别率=0.765799
score=7,认假率=0.309341,拒真率=0.034395,识别率=0.828132
score=8,认假率=0.212879,拒真率=0.037834,识别率=0.874643
score=9,认假率=0.147177,拒真率=0.040568,识别率=0.906128
score=10,认假率=0.099599,拒真率=0.042949,识别率=0.928726
score=11,认假率=0.068491,拒真率=0.045683,识别率=0.942913
score=12,认假率=0.047578,拒真率=0.048329,识别率=0.952047
score=13,认假率=0.034245,拒真率=0.050975,识别率=0.957390
score=14,认假率=0.024660,拒真率=0.053532,识别率=0.960904
score=15,认假率=0.019083,拒真率=0.056266,识别率=0.962325
score=16,认假率=0.013506,拒真率=0.058294,识别率=0.964100
score=17,认假率=0.009934,拒真率=0.060587,识别率=0.964739
score=18,认假率=0.008104,拒真率=0.063498,识别率=0.964199
score=19,认假率=0.006013,拒真率=0.065614,识别率=0.964187
score=20,认假率=0.004618,拒真率=0.067554,识别率=0.963914
score=21,认假率=0.003486,拒真率=0.069318,识别率=0.963598
score=22,认假率=0.002527,拒真率=0.071082,识别率=0.963195
score=23,认假率=0.001743,拒真率=0.073728,识别率=0.962265
score=24,认假率=0.001568,拒真率=0.076285,识别率=0.961073
score=25,认假率=0.001220,拒真率=0.077696,识别率=0.960542
score=26,认假率=0.001046,拒真率=0.080342,识别率=0.959306
score=27,认假率=0.000871,拒真率=0.082812,识别率=0.958159
score=28,认假率=0.000697,拒真率=0.085016,识别率=0.957143
score=29,认假率=0.000610,拒真率=0.087133,识别率=0.956129
score=30,认假率=0.000523,拒真率=0.089338,识别率=0.955070
score=31,认假率=0.000436,拒真率=0.091190,识别率=0.954187
score=32,认假率=0.000349,拒真率=0.094541,识别率=0.952555
score=33,认假率=0.000349,拒真率=0.096834,识别率=0.951409
score=34,认假率=0.000349,拒真率=0.099744,识别率=0.949954
score=35,认假率=0.000349,拒真率=0.101420,识别率=0.949116
score=36,认假率=0.000261,拒真率=0.103977,识别率=0.947881
score=37,认假率=0.000261,拒真率=0.105653,识别率=0.947043
score=38,认假率=0.000174,拒真率=0.107593,识别率=0.946116
score=39,认假率=0.000174,拒真率=0.109357,识别率=0.945234
score=40,认假率=0.000174,拒真率=0.111033,识别率=0.944397
score=41,认假率=0.000174,拒真率=0.113326,识别率=0.943250
score=42,认假率=0.000174,拒真率=0.115178,识别率=0.942324
score=43,认假率=0.000174,拒真率=0.117471,识别率=0.941178
score=44,认假率=0.000174,拒真率=0.119323,识别率=0.940252
score=45,认假率=0.000087,拒真率=0.121439,识别率=0.939237
score=46,认假率=0.000087,拒真率=0.123291,识别率=0.938311
score=47,认假率=0.000087,拒真率=0.125232,识别率=0.937341
score=48,认假率=0.000087,拒真率=0.127436,识别率=0.936238
score=49,认假率=0.000087,拒真率=0.129465,识别率=0.935224
score=50,认假率=0.000087,拒真率=0.132551,识别率=0.933681
score=51,认假率=0.000087,拒真率=0.133962,识别率=0.932975
score=52,认假率=0.000087,拒真率=0.135814,识别率=0.932049
score=53,认假率=0.000087,拒真率=0.137226,识别率=0.931344
score=54,认假率=0.000087,拒真率=0.138460,识别率=0.930726
score=55,认假率=0.000087,拒真率=0.140312,识别率=0.929800
score=56,认假率=0.000087,拒真率=0.142164,识别率=0.928874
score=57,认假率=0.000087,拒真率=0.144016,识别率=0.927948
score=58,认假率=0.000000,拒真率=0.146486,识别率=0.926757
score=59,认假率=0.000000,拒真率=0.148249,识别率=0.925875
score=60,认假率=0.000000,拒真率=0.149749,识别率=0.925126
score=61,认假率=0.000000,拒真率=0.151777,识别率=0.924111
score=62,认假率=0.000000,拒真率=0.154158,识别率=0.922921
score=63,认假率=0.000000,拒真率=0.156098,识别率=0.921951
score=64,认假率=0.000000,拒真率=0.157421,识别率=0.921289
score=65,认假率=0.000000,拒真率=0.159097,识别率=0.920452
score=66,认假率=0.000000,拒真率=0.160949,识别率=0.919526
score=67,认假率=0.000000,拒真率=0.162713,识别率=0.918644
score=68,认假率=0.000000,拒真率=0.164300,识别率=0.917850
score=69,认假率=0.000000,拒真率=0.165976,识别率=0.917012
score=70,认假率=0.000000,拒真率=0.167387,识别率=0.916307
score=71,认假率=0.000000,拒真率=0.168798,识别率=0.915601
score=72,认假率=0.000000,拒真率=0.169768,识别率=0.915116
score=73,认假率=0.000000,拒真率=0.171267,识别率=0.914366
score=74,认假率=0.000000,拒真率=0.173560,识别率=0.913220
score=75,认假率=0.000000,拒真率=0.175589,识别率=0.912206
score=76,认假率=0.000000,拒真率=0.177353,识别率=0.911324
score=77,认假率=0.000000,拒真率=0.179205,识别率=0.910398
score=78,认假率=0.000000,拒真率=0.181586,识别率=0.909207
score=79,认假率=0.000000,拒真率=0.183790,识别率=0.908105
score=80,认假率=0.000000,拒真率=0.184672,识别率=0.907664
score=81,认假率=0.000000,拒真率=0.185907,识别率=0.907046
score=82,认假率=0.000000,拒真率=0.187142,识别率=0.906429
score=83,认假率=0.000000,拒真率=0.188641,识别率=0.905680
score=84,认假率=0.000000,拒真率=0.190228,识别率=0.904886
score=85,认假率=0.000000,拒真率=0.191816,识别率=0.904092
score=86,认假率=0.000000,拒真率=0.193139,识别率=0.903431
score=87,认假率=0.000000,拒真率=0.194109,识别率=0.902946
score=88,认假率=0.000000,拒真率=0.196137,识别率=0.901931
score=89,认假率=0.000000,拒真率=0.198254,识别率=0.900873
score=90,认假率=0.000000,拒真率=0.200194,识别率=0.899903
score=91,认假率=0.000000,拒真率=0.201870,识别率=0.899065
score=92,认假率=0.000000,拒真率=0.203545,识别率=0.898227
score=93,认假率=0.000000,拒真率=0.204780,识别率=0.897610
