Y_count=55,N_count=0,sum=55,æ‹’Ê¬ =0.000000
num=1,score=106
num=2,score=109
num=3,score=119
num=4,score=115
num=5,score=101
num=6,score=116
num=7,score=110
num=8,score=104
num=9,score=107
num=10,score=113
num=11,score=108
num=12,score=105
num=13,score=111
num=14,score=104
num=15,score=108
num=16,score=107
num=17,score=105
num=18,score=104
num=19,score=117
num=20,score=110
num=21,score=101
num=22,score=118
num=23,score=101
num=24,score=101
num=25,score=110
num=26,score=103
num=27,score=103
num=28,score=113
num=29,score=109
num=30,score=109
num=31,score=112
num=32,score=105
num=33,score=107
num=34,score=109
num=35,score=119
num=36,score=102
num=37,score=112
num=38,score=105
num=39,score=117
num=40,score=108
num=41,score=113
num=42,score=101
num=43,score=113
num=44,score=104
num=45,score=104
num=46,score=114
num=47,score=108
num=48,score=107
num=49,score=110
num=50,score=117
num=51,score=114
num=52,score=103
num=53,score=118
num=54,score=108
num=55,score=109
