Y_count=55,N_count=0,sum=55,æ‹’Ê¬ =0.000000
num=1,score=108
num=2,score=117
num=3,score=114
num=4,score=116
num=5,score=115
num=6,score=114
num=7,score=107
num=8,score=114
num=9,score=112
num=10,score=101
num=11,score=114
num=12,score=112
num=13,score=113
num=14,score=112
num=15,score=111
num=16,score=105
num=17,score=111
num=18,score=109
num=19,score=114
num=20,score=114
num=21,score=109
num=22,score=106
num=23,score=107
num=24,score=114
num=25,score=106
num=26,score=109
num=27,score=114
num=28,score=114
num=29,score=112
num=30,score=112
num=31,score=103
num=32,score=111
num=33,score=110
num=34,score=116
num=35,score=114
num=36,score=112
num=37,score=103
num=38,score=110
num=39,score=109
num=40,score=109
num=41,score=114
num=42,score=104
num=43,score=112
num=44,score=111
num=45,score=111
num=46,score=116
num=47,score=107
num=48,score=105
num=49,score=105
num=50,score=102
num=51,score=114
num=52,score=114
num=53,score=112
num=54,score=111
num=55,score=106
