Y_count=34,N_count=21,sum=55,æ‹’Ê¬ =0.381818
num=1,score=114
num=2,score=113
num=3,score=0
num=4,score=37
num=5,score=63
num=6,score=0
num=7,score=26
num=8,score=26
num=9,score=0
num=10,score=0
num=11,score=108
num=12,score=108
num=13,score=87
num=14,score=109
num=15,score=72
num=16,score=35
num=17,score=101
num=18,score=0
num=19,score=0
num=20,score=104
num=21,score=111
num=22,score=40
num=23,score=110
num=24,score=107
num=25,score=106
num=26,score=0
num=27,score=75
num=28,score=110
num=29,score=108
num=30,score=105
num=31,score=101
num=32,score=107
num=33,score=0
num=34,score=56
num=35,score=123
num=36,score=0
num=37,score=0
num=38,score=34
num=39,score=0
num=40,score=0
num=41,score=111
num=42,score=104
num=43,score=106
num=44,score=0
num=45,score=91
num=46,score=104
num=47,score=111
num=48,score=103
num=49,score=106
num=50,score=112
num=51,score=45
num=52,score=107
num=53,score=108
num=54,score=89
num=55,score=102
