Y_count=48,N_count=7,sum=55,æ‹’Ê¬ =0.127273
num=1,score=116
num=2,score=109
num=3,score=106
num=4,score=101
num=5,score=106
num=6,score=108
num=7,score=105
num=8,score=113
num=9,score=71
num=10,score=35
num=11,score=111
num=12,score=102
num=13,score=111
num=14,score=101
num=15,score=108
num=16,score=107
num=17,score=106
num=18,score=85
num=19,score=38
num=20,score=108
num=21,score=110
num=22,score=107
num=23,score=110
num=24,score=108
num=25,score=105
num=26,score=107
num=27,score=57
num=28,score=106
num=29,score=105
num=30,score=107
num=31,score=106
num=32,score=104
num=33,score=102
num=34,score=30
num=35,score=105
num=36,score=104
num=37,score=104
num=38,score=107
num=39,score=105
num=40,score=32
num=41,score=111
num=42,score=104
num=43,score=112
num=44,score=105
num=45,score=31
num=46,score=113
num=47,score=106
num=48,score=109
num=49,score=63
num=50,score=103
num=51,score=102
num=52,score=98
num=53,score=108
num=54,score=53
num=55,score=104
