Y_count=53,N_count=2,sum=55,æ‹’Ê¬ =0.036364
num=1,score=158
num=2,score=115
num=3,score=102
num=4,score=73
num=5,score=101
num=6,score=49
num=7,score=69
num=8,score=112
num=9,score=37
num=10,score=110
num=11,score=103
num=12,score=104
num=13,score=102
num=14,score=109
num=15,score=106
num=16,score=106
num=17,score=109
num=18,score=101
num=19,score=106
num=20,score=112
num=21,score=105
num=22,score=104
num=23,score=104
num=24,score=101
num=25,score=76
num=26,score=105
num=27,score=107
num=28,score=110
num=29,score=112
num=30,score=103
num=31,score=106
num=32,score=115
num=33,score=112
num=34,score=105
num=35,score=108
num=36,score=102
num=37,score=105
num=38,score=110
num=39,score=102
num=40,score=106
num=41,score=111
num=42,score=102
num=43,score=111
num=44,score=102
num=45,score=107
num=46,score=112
num=47,score=105
num=48,score=105
num=49,score=106
num=50,score=118
num=51,score=104
num=52,score=113
num=53,score=104
num=54,score=107
num=55,score=111
