Y_count=30,N_count=25,sum=55,æ‹’Ê¬ =0.454545
num=1,score=119
num=2,score=80
num=3,score=0
num=4,score=0
num=5,score=34
num=6,score=0
num=7,score=45
num=8,score=36
num=9,score=85
num=10,score=51
num=11,score=111
num=12,score=48
num=13,score=56
num=14,score=56
num=15,score=25
num=16,score=60
num=17,score=42
num=18,score=0
num=19,score=90
num=20,score=111
num=21,score=0
num=22,score=53
num=23,score=103
num=24,score=23
num=25,score=106
num=26,score=34
num=27,score=105
num=28,score=105
num=29,score=106
num=30,score=0
num=31,score=47
num=32,score=82
num=33,score=0
num=34,score=47
num=35,score=106
num=36,score=109
num=37,score=47
num=38,score=112
num=39,score=79
num=40,score=104
num=41,score=113
num=42,score=48
num=43,score=107
num=44,score=46
num=45,score=105
num=46,score=103
num=47,score=90
num=48,score=116
num=49,score=105
num=50,score=112
num=51,score=110
num=52,score=104
num=53,score=103
num=54,score=95
num=55,score=113
