Y_count=15,N_count=40,sum=55,æ‹’Ê¬ =0.727273
num=1,score=101
num=2,score=119
num=3,score=43
num=4,score=0
num=5,score=0
num=6,score=0
num=7,score=0
num=8,score=0
num=9,score=0
num=10,score=0
num=11,score=145
num=12,score=91
num=13,score=0
num=14,score=0
num=15,score=0
num=16,score=0
num=17,score=0
num=18,score=0
num=19,score=0
num=20,score=112
num=21,score=0
num=22,score=49
num=23,score=0
num=24,score=0
num=25,score=0
num=26,score=0
num=27,score=0
num=28,score=119
num=29,score=108
num=30,score=0
num=31,score=0
num=32,score=0
num=33,score=0
num=34,score=0
num=35,score=113
num=36,score=0
num=37,score=109
num=38,score=71
num=39,score=0
num=40,score=0
num=41,score=0
num=42,score=0
num=43,score=0
num=44,score=0
num=45,score=0
num=46,score=237
num=47,score=138
num=48,score=0
num=49,score=0
num=50,score=113
num=51,score=0
num=52,score=0
num=53,score=103
num=54,score=0
num=55,score=106
