Y_count=38,N_count=17,sum=55,æ‹’Ê¬ =0.309091
num=1,score=158
num=2,score=146
num=3,score=117
num=4,score=118
num=5,score=122
num=6,score=144
num=7,score=82
num=8,score=114
num=9,score=0
num=10,score=0
num=11,score=174
num=12,score=147
num=13,score=113
num=14,score=151
num=15,score=153
num=16,score=0
num=17,score=121
num=18,score=0
num=19,score=0
num=20,score=192
num=21,score=135
num=22,score=181
num=23,score=162
num=24,score=0
num=25,score=0
num=26,score=106
num=27,score=0
num=28,score=113
num=29,score=142
num=30,score=122
num=31,score=0
num=32,score=83
num=33,score=101
num=34,score=56
num=35,score=192
num=36,score=162
num=37,score=0
num=38,score=109
num=39,score=112
num=40,score=0
num=41,score=174
num=42,score=0
num=43,score=105
num=44,score=0
num=45,score=73
num=46,score=123
num=47,score=125
num=48,score=0
num=49,score=0
num=50,score=174
num=51,score=0
num=52,score=71
num=53,score=133
num=54,score=104
num=55,score=117
