Y_count=31,N_count=24,sum=55,æ‹’Ê¬ =0.436364
num=1,score=101
num=2,score=116
num=3,score=113
num=4,score=89
num=5,score=100
num=6,score=42
num=7,score=0
num=8,score=0
num=9,score=0
num=10,score=0
num=11,score=112
num=12,score=105
num=13,score=108
num=14,score=90
num=15,score=37
num=16,score=36
num=17,score=32
num=18,score=0
num=19,score=0
num=20,score=103
num=21,score=105
num=22,score=105
num=23,score=89
num=24,score=83
num=25,score=32
num=26,score=0
num=27,score=0
num=28,score=112
num=29,score=117
num=30,score=65
num=31,score=66
num=32,score=65
num=33,score=0
num=34,score=0
num=35,score=112
num=36,score=75
num=37,score=100
num=38,score=61
num=39,score=0
num=40,score=0
num=41,score=103
num=42,score=105
num=43,score=0
num=44,score=0
num=45,score=0
num=46,score=119
num=47,score=0
num=48,score=0
num=49,score=0
num=50,score=103
num=51,score=112
num=52,score=17
num=53,score=102
num=54,score=106
num=55,score=112
